,params,train_recall,train_f1,val_recall,val_f1
3,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.6914823008849557,0.19067463440781182,0.6955665024630542,0.1903102028468489
2,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.6879266750948166,0.19006259905682582,0.6955665024630542,0.19019788106630214
6,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1'}",0.6897123893805309,0.19132482835053646,0.6884236453201971,0.18984376218291776
7,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2'}",0.6897123893805309,0.19127676343168504,0.6884236453201971,0.18984376218291776
4,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.6897123893805309,0.19132449921339967,0.6884236453201971,0.18980978321575312
5,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.6897123893805309,0.19108871058390675,0.6884236453201971,0.18980961541238073
1,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2'}",0.7127844500632111,0.18443684652158526,0.6955665024630542,0.17980065894498654
0,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1'}",0.7198640960809103,0.17201760424191342,0.7169950738916256,0.17076963080465843
