,params,train_recall,train_f1,val_recall,val_f1
2,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.8971871049304678,0.2997325921501354,0.8517241379310343,0.2896716244176881
7,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2'}",0.8918773704171933,0.3103768486586258,0.816256157635468,0.28328116295167133
6,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1'}",0.8918773704171933,0.3114058810929218,0.8019704433497538,0.2817617053723106
4,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.8901074589127684,0.3082166943958449,0.8091133004926109,0.27934918539424525
3,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.9007269279393173,0.29747208186891966,0.8517241379310343,0.2775840872758931
5,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.8954329962073325,0.3099182333364472,0.8091133004926109,0.27608682642077825
0,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1'}",0.9149178255372945,0.25721317529006776,0.9150246305418719,0.2576292544491404
1,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2'}",0.9273230088495575,0.25375191825849386,0.9147783251231527,0.2497356309139815
