,params,train_recall,train_f1,val_recall,val_f1
2,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.88653603034134,0.2931871427409479,0.8729064039408867,0.28936877567616087
4,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1'}",0.8865676359039192,0.3017291397376697,0.8514778325123153,0.28518327591605297
6,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1'}",0.8830278128950695,0.3018531879819015,0.8371921182266009,0.28491994888504746
5,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.8865676359039192,0.30108037072671,0.8514778325123153,0.28410873571142276
7,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2'}",0.8830278128950695,0.30192390284472054,0.8371921182266009,0.2827077988282887
3,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2'}",0.8865518331226296,0.28916715071317467,0.8655172413793103,0.28082272360225186
0,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l1'}",0.9166877370417194,0.2563867211172721,0.9150246305418719,0.25588570638933955
1,"{'C': 0.01, 'class_weight': 'balanced', 'penalty': 'l2'}",0.9255372945638433,0.2531109920656328,0.9076354679802956,0.2464289328426296
